StringID	Type	x	y	demand	pickup_demand	delivery_demand	ReadyTime	DueDate	ServiceTime
S0	f	40.0	50.0	0.0	0	0	0.0	1236.0	0.0
S1	f	73.0	52.0	0.0	0	0	0.0	1236.0	0.0
S2	f	90.0	55.0	0.0	0	0	0.0	1236.0	0.0
S3	f	55.0	79.0	0.0	0	0	0.0	1236.0	0.0
S4	f	69.0	89.0	0.0	0	0	0.0	1236.0	0.0
S5	f	32.0	80.0	0.0	0	0	0.0	1236.0	0.0
S6	f	39.0	96.0	0.0	0	0	0.0	1236.0	0.0
S7	f	23.0	80.0	0.0	0	0	0.0	1236.0	0.0
S8	f	4.0	83.0	0.0	0	0	0.0	1236.0	0.0
S9	f	18.0	58.0	0.0	0	0	0.0	1236.0	0.0
S10	f	1.0	56.0	0.0	0	0	0.0	1236.0	0.0
S11	f	13.0	31.0	0.0	0	0	0.0	1236.0	0.0
S12	f	-5.0	38.0	0.0	0	0	0.0	1236.0	0.0
S13	f	26.0	37.0	0.0	0	0	0.0	1236.0	0.0
S14	f	28.0	13.0	0.0	0	0	0.0	1236.0	0.0
S15	f	39.0	31.0	0.0	0	0	0.0	1236.0	0.0
S16	f	48.0	11.0	0.0	0	0	0.0	1236.0	0.0
S17	f	59.0	17.0	0.0	0	0	0.0	1236.0	0.0
S18	f	73.0	23.0	0.0	0	0	0.0	1236.0	0.0
S19	f	74.0	32.0	0.0	0	0	0.0	1236.0	0.0
S20	f	90.0	44.0	0.0	0	0	0.0	1236.0	0.0
C1	c	45.0	68.0	10.0	4	6	46.0	172.0	90.0
C2	c	45.0	70.0	30.0	11	19	471.0	581.0	90.0
C3	c	42.0	66.0	10.0	4	6	829.0	965.0	90.0
C4	c	42.0	68.0	10.0	4	6	548.0	692.0	90.0
C5	c	42.0	65.0	10.0	4	6	912.0	1064.0	90.0
C6	c	40.0	69.0	20.0	9	11	653.0	771.0	90.0
C7	c	40.0	66.0	20.0	8	12	743.0	867.0	90.0
C8	c	38.0	68.0	20.0	9	11	991.0	1127.0	90.0
C9	c	38.0	70.0	10.0	5	5	917.0	1081.0	90.0
C10	c	35.0	66.0	10.0	5	5	746.0	878.0	90.0
C11	c	35.0	69.0	10.0	5	5	834.0	976.0	90.0
C12	c	25.0	85.0	20.0	15	5	149.0	255.0	90.0
C13	c	22.0	75.0	30.0	22	8	986.0	1115.0	90.0
C14	c	22.0	85.0	10.0	8	2	231.0	359.0	90.0
C15	c	20.0	80.0	40.0	30	10	722.0	812.0	90.0
C16	c	20.0	85.0	40.0	31	9	329.0	445.0	90.0
C17	c	18.0	75.0	20.0	16	4	594.0	750.0	90.0
C18	c	15.0	75.0	20.0	16	4	534.0	624.0	90.0
C19	c	15.0	80.0	10.0	9	1	426.0	542.0	90.0
C20	c	30.0	50.0	10.0	4	6	10.0	130.0	90.0
C21	c	30.0	52.0	20.0	9	11	11.0	135.0	90.0
C22	c	28.0	52.0	20.0	10	10	43.0	161.0	90.0
C23	c	28.0	55.0	10.0	5	5	13.0	127.0	90.0
C24	c	25.0	50.0	10.0	5	5	38.0	172.0	90.0
C25	c	25.0	52.0	40.0	21	19	121.0	269.0	90.0
C26	c	25.0	55.0	10.0	6	4	637.0	779.0	90.0
C27	c	23.0	52.0	10.0	6	4	240.0	334.0	90.0
C28	c	23.0	55.0	20.0	12	8	402.0	546.0	90.0
C29	c	20.0	50.0	10.0	6	4	148.0	252.0	90.0
C30	c	20.0	55.0	10.0	7	3	328.0	434.0	90.0
C31	c	10.0	35.0	20.0	15	5	441.0	543.0	90.0
C32	c	10.0	40.0	30.0	23	7	237.0	371.0	90.0
C33	c	8.0	40.0	40.0	32	8	314.0	478.0	90.0
C34	c	8.0	45.0	20.0	17	3	170.0	268.0	90.0
C35	c	5.0	35.0	10.0	9	1	620.0	760.0	90.0
C36	c	5.0	45.0	10.0	9	1	244.0	380.0	90.0
C37	c	2.0	40.0	20.0	19	1	544.0	644.0	90.0
C38	c	0.0	40.0	30.0	30	0	441.0	563.0	90.0
C39	c	0.0	45.0	20.0	20	0	342.0	472.0	90.0
C40	c	35.0	30.0	10.0	2	8	114.0	228.0	90.0
C41	c	35.0	32.0	10.0	1	9	19.0	139.0	90.0
C42	c	33.0	32.0	20.0	1	19	213.0	315.0	90.0
C43	c	33.0	35.0	10.0	1	9	759.0	879.0	90.0
C44	c	32.0	30.0	10.0	1	9	294.0	418.0	90.0
C45	c	30.0	30.0	10.0	0	10	394.0	502.0	90.0
C46	c	30.0	32.0	30.0	2	28	569.0	697.0	90.0
C47	c	30.0	35.0	10.0	2	8	670.0	782.0	90.0
C48	c	28.0	30.0	10.0	1	9	483.0	597.0	90.0
C49	c	28.0	35.0	10.0	2	8	980.0	1104.0	90.0
C50	c	26.0	32.0	10.0	2	8	897.0	1001.0	90.0
C51	c	25.0	30.0	10.0	2	8	790.0	922.0	90.0
C52	c	25.0	35.0	10.0	3	7	1003.0	1124.0	90.0
C53	c	44.0	5.0	20.0	18	2	399.0	549.0	90.0
C54	c	42.0	10.0	40.0	31	9	782.0	896.0	90.0
C55	c	42.0	15.0	10.0	7	3	876.0	992.0	90.0
C56	c	40.0	5.0	30.0	27	3	320.0	440.0	90.0
C57	c	40.0	15.0	40.0	25	15	952.0	1100.0	90.0
C58	c	38.0	5.0	30.0	27	3	224.0	352.0	90.0
C59	c	38.0	15.0	10.0	7	3	37.0	153.0	90.0
C60	c	35.0	5.0	20.0	18	2	138.0	252.0	90.0
C61	c	50.0	30.0	10.0	4	6	937.0	1107.0	90.0
C62	c	50.0	35.0	20.0	6	14	139.0	259.0	90.0
C63	c	50.0	40.0	50.0	10	40	15.0	155.0	90.0
C64	c	48.0	30.0	10.0	4	6	232.0	356.0	90.0
C65	c	48.0	40.0	10.0	2	8	31.0	175.0	90.0
C66	c	47.0	35.0	10.0	3	7	1006.0	1129.0	90.0
C67	c	47.0	40.0	10.0	2	8	13.0	162.0	90.0
C68	c	45.0	30.0	10.0	4	6	321.0	453.0	90.0
C69	c	45.0	35.0	10.0	3	7	413.0	551.0	90.0
C70	c	95.0	30.0	30.0	21	9	363.0	471.0	90.0
C71	c	95.0	35.0	20.0	13	7	450.0	574.0	90.0
C72	c	53.0	30.0	10.0	5	5	879.0	979.0	90.0
C73	c	92.0	30.0	10.0	7	3	250.0	398.0	90.0
C74	c	53.0	35.0	50.0	17	33	46.0	174.0	90.0
C75	c	45.0	65.0	20.0	7	13	16.0	167.0	90.0
C76	c	90.0	35.0	10.0	7	3	543.0	671.0	90.0
C77	c	88.0	30.0	10.0	7	3	501.0	633.0	90.0
C78	c	88.0	35.0	20.0	13	7	634.0	764.0	90.0
C79	c	87.0	30.0	10.0	7	3	415.0	537.0	90.0
C80	c	85.0	25.0	10.0	8	2	610.0	716.0	90.0
C81	c	85.0	35.0	30.0	18	12	730.0	854.0	90.0
C82	c	75.0	55.0	20.0	6	14	424.0	564.0	90.0
C83	c	72.0	55.0	10.0	3	7	525.0	649.0	90.0
C84	c	70.0	58.0	20.0	4	16	620.0	740.0	90.0
C85	c	68.0	60.0	30.0	4	26	700.0	846.0	90.0
C86	c	66.0	55.0	10.0	2	8	139.0	275.0	90.0
C87	c	65.0	55.0	20.0	4	16	57.0	175.0	90.0
