StringID	Type	x	y	demand	pickup_demand	delivery_demand	ReadyTime	DueDate	ServiceTime
S0	f	35.0	35.0	0.0	0	0	0.0	1000.0	0.0
S1	f	61.0	37.0	0.0	0	0	0.0	1000.0	0.0
S2	f	74.0	39.0	0.0	0	0	0.0	1000.0	0.0
S3	f	47.0	57.0	0.0	0	0	0.0	1000.0	0.0
S4	f	57.0	65.0	0.0	0	0	0.0	1000.0	0.0
S5	f	29.0	59.0	0.0	0	0	0.0	1000.0	0.0
S6	f	34.0	71.0	0.0	0	0	0.0	1000.0	0.0
S7	f	22.0	58.0	0.0	0	0	0.0	1000.0	0.0
S8	f	7.0	61.0	0.0	0	0	0.0	1000.0	0.0
S9	f	18.0	41.0	0.0	0	0	0.0	1000.0	0.0
S10	f	5.0	39.0	0.0	0	0	0.0	1000.0	0.0
S11	f	14.0	20.0	0.0	0	0	0.0	1000.0	0.0
S12	f	0.0	26.0	0.0	0	0	0.0	1000.0	0.0
S13	f	24.0	25.0	0.0	0	0	0.0	1000.0	0.0
S14	f	26.0	6.0	0.0	0	0	0.0	1000.0	0.0
S15	f	34.0	20.0	0.0	0	0	0.0	1000.0	0.0
S16	f	41.0	5.0	0.0	0	0	0.0	1000.0	0.0
S17	f	50.0	9.0	0.0	0	0	0.0	1000.0	0.0
S18	f	61.0	14.0	0.0	0	0	0.0	1000.0	0.0
S19	f	62.0	21.0	0.0	0	0	0.0	1000.0	0.0
S20	f	74.0	30.0	0.0	0	0	0.0	1000.0	0.0
C1	c	41.0	49.0	10.0	2	8	16.0	426.0	10.0
C2	c	35.0	17.0	7.0	4	3	18.0	537.0	10.0
C3	c	55.0	45.0	13.0	3	10	343.0	967.0	10.0
C4	c	55.0	20.0	19.0	13	6	568.0	965.0	10.0
C5	c	15.0	30.0	26.0	13	13	21.0	563.0	10.0
C6	c	25.0	30.0	3.0	1	2	368.0	896.0	10.0
C7	c	20.0	50.0	5.0	3	2	22.0	421.0	10.0
C8	c	10.0	43.0	9.0	7	2	27.0	505.0	10.0
C9	c	55.0	60.0	16.0	2	14	374.0	884.0	10.0
C10	c	30.0	60.0	16.0	8	8	415.0	861.0	10.0
C11	c	20.0	65.0	12.0	9	3	484.0	956.0	10.0
C12	c	50.0	35.0	19.0	6	13	568.0	975.0	10.0
C13	c	30.0	25.0	23.0	4	19	12.0	484.0	10.0
C14	c	15.0	10.0	20.0	7	13	33.0	522.0	10.0
C15	c	30.0	5.0	8.0	7	1	527.0	959.0	10.0
C16	c	10.0	20.0	19.0	10	9	346.0	846.0	10.0
C17	c	5.0	30.0	2.0	2	0	517.0	959.0	10.0
C18	c	20.0	40.0	12.0	6	6	231.0	685.0	10.0
C19	c	15.0	60.0	17.0	13	4	54.0	542.0	10.0
C20	c	45.0	65.0	9.0	3	6	515.0	933.0	10.0
C21	c	45.0	20.0	11.0	7	4	19.0	535.0	10.0
C22	c	45.0	10.0	18.0	14	4	490.0	963.0	10.0
C23	c	55.0	5.0	29.0	27	2	37.0	611.0	10.0
C24	c	65.0	35.0	3.0	2	1	506.0	960.0	10.0
C25	c	65.0	20.0	6.0	5	1	34.0	493.0	10.0
C26	c	45.0	30.0	17.0	6	11	12.0	481.0	10.0
C27	c	35.0	40.0	16.0	2	14	102.0	674.0	10.0
C28	c	41.0	37.0	16.0	2	14	176.0	676.0	10.0
C29	c	64.0	42.0	9.0	4	5	503.0	960.0	10.0
C30	c	40.0	60.0	21.0	7	14	349.0	799.0	10.0
C31	c	31.0	52.0	27.0	11	16	328.0	972.0	10.0
C32	c	35.0	69.0	23.0	12	11	252.0	722.0	10.0
C33	c	53.0	52.0	11.0	1	10	60.0	598.0	10.0
C34	c	65.0	55.0	14.0	3	11	37.0	523.0	10.0
C35	c	63.0	65.0	8.0	1	7	393.0	948.0	10.0
C36	c	2.0	60.0	5.0	5	0	469.0	948.0	10.0
C37	c	20.0	20.0	8.0	0	8	303.0	875.0	10.0
C38	c	5.0	5.0	16.0	0	16	402.0	918.0	10.0
C39	c	60.0	12.0	31.0	25	6	95.0	629.0	10.0
C40	c	40.0	25.0	9.0	4	5	548.0	978.0	10.0
C41	c	42.0	7.0	5.0	5	0	473.0	961.0	10.0
C42	c	24.0	12.0	5.0	3	2	26.0	431.0	10.0
C43	c	23.0	3.0	7.0	7	0	185.0	755.0	10.0
C44	c	11.0	14.0	18.0	4	14	398.0	894.0	10.0
C45	c	6.0	38.0	16.0	14	2	383.0	960.0	10.0
C46	c	2.0	48.0	1.0	1	0	36.0	534.0	10.0
C47	c	8.0	56.0	27.0	24	3	435.0	947.0	10.0
C48	c	13.0	52.0	36.0	27	9	236.0	740.0	10.0
C49	c	6.0	68.0	30.0	28	2	470.0	946.0	10.0
C50	c	47.0	47.0	13.0	0	13	342.0	764.0	10.0
C51	c	49.0	58.0	10.0	2	8	474.0	963.0	10.0
C52	c	27.0	43.0	9.0	4	5	43.0	581.0	10.0
C53	c	37.0	31.0	14.0	3	11	210.0	694.0	10.0
C54	c	57.0	29.0	18.0	9	9	23.0	496.0	10.0
C55	c	63.0	23.0	2.0	2	0	225.0	785.0	10.0
C56	c	53.0	12.0	6.0	5	1	433.0	960.0	10.0
C57	c	32.0	12.0	7.0	5	2	297.0	761.0	10.0
C58	c	36.0	26.0	18.0	5	13	225.0	689.0	10.0
C59	c	21.0	24.0	28.0	4	24	18.0	492.0	10.0
C60	c	17.0	34.0	3.0	2	1	409.0	901.0	10.0
C61	c	12.0	24.0	13.0	7	6	116.0	764.0	10.0
C62	c	24.0	58.0	19.0	12	7	487.0	964.0	10.0
C63	c	27.0	69.0	10.0	7	3	406.0	955.0	10.0
C64	c	15.0	77.0	9.0	8	1	503.0	943.0	10.0
C65	c	62.0	77.0	20.0	4	16	50.0	489.0	10.0
C66	c	49.0	73.0	25.0	9	16	416.0	938.0	10.0
C67	c	67.0	5.0	25.0	24	1	44.0	531.0	10.0
C68	c	56.0	39.0	36.0	11	25	133.0	651.0	10.0
C69	c	37.0	47.0	6.0	2	4	291.0	769.0	10.0
C70	c	37.0	56.0	5.0	2	3	22.0	454.0	10.0
C71	c	57.0	68.0	15.0	3	12	538.0	950.0	10.0
C72	c	47.0	16.0	25.0	17	8	23.0	541.0	10.0
C73	c	44.0	17.0	9.0	6	3	563.0	969.0	10.0
C74	c	46.0	13.0	8.0	6	2	289.0	715.0	10.0
C75	c	49.0	11.0	18.0	14	4	370.0	802.0	10.0
C76	c	49.0	42.0	13.0	2	11	43.0	529.0	10.0
C77	c	53.0	43.0	14.0	3	11	20.0	521.0	10.0
C78	c	61.0	52.0	3.0	1	2	32.0	606.0	10.0
C79	c	57.0	48.0	23.0	4	19	26.0	502.0	10.0
C80	c	56.0	37.0	6.0	3	3	22.0	566.0	10.0
C81	c	55.0	54.0	26.0	1	25	28.0	480.0	10.0
C82	c	15.0	47.0	16.0	11	5	521.0	966.0	10.0
C83	c	14.0	37.0	11.0	7	4	366.0	856.0	10.0
C84	c	11.0	31.0	7.0	5	2	133.0	629.0	10.0
C85	c	16.0	22.0	41.0	12	29	350.0	946.0	10.0
C86	c	4.0	18.0	35.0	28	7	572.0	954.0	10.0
C87	c	28.0	18.0	26.0	10	16	385.0	713.0	10.0
C88	c	26.0	52.0	9.0	5	4	134.0	648.0	10.0
C89	c	26.0	35.0	15.0	4	11	367.0	885.0	10.0
C90	c	31.0	67.0	3.0	2	1	363.0	805.0	10.0
C91	c	15.0	19.0	1.0	1	0	275.0	805.0	10.0
C92	c	22.0	22.0	2.0	0	2	27.0	595.0	10.0
C93	c	18.0	24.0	22.0	6	16	405.0	803.0	10.0
C94	c	26.0	27.0	27.0	1	26	363.0	813.0	10.0
C95	c	25.0	24.0	20.0	1	19	15.0	562.0	10.0
C96	c	22.0	27.0	11.0	3	8	584.0	974.0	10.0
C97	c	25.0	21.0	12.0	2	10	409.0	793.0	10.0
C98	c	19.0	21.0	10.0	1	9	251.0	715.0	10.0
C99	c	20.0	26.0	9.0	3	6	18.0	439.0	10.0
C100	c	18.0	18.0	17.0	0	17	25.0	338.0	10.0

Q Vehicle fuel tank capacity /265.71
C Vehicle load capacity /1000.0
r fuel consumption rate /1.0
g inverse refueling rate /0.11
v average Velocity /1.0
